variable,mean,sd,min,max,n_miss
filing_rate,2.774840059699683,1.5903444448108541,0.5032907471931862,14.388489208633093,0
filings_observed,3950.7442348008385,10629.137017508418,1,74420,0
renting_hh,126482.23689727463,305647.754161222,132,1808140,0
coastal,0.2893081761006289,0.45391729084582055,0,1,0
post2008,0.9727463312368972,0.1629926424209407,0,1,0
